"module name","licenses","repository","licenseUrl","parents"
"locate-path@5.0.0","MIT","https://github.com/sindresorhus/locate-path","https://github.com/sindresorhus/locate-path/raw/master/license","pkg-dir:neighbourhood-calculator-js-excel-addin"
"locate-path@6.0.0","MIT","https://github.com/sindresorhus/locate-path","https://github.com/sindresorhus/locate-path/raw/master/license","neighbourhood-calculator-js-excel-addin"
"lodash.merge@4.6.2","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"lodash@4.17.21","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"lru-cache@6.0.0","ISC","https://github.com/isaacs/node-lru-cache","https://github.com/isaacs/node-lru-cache/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"magic-string@0.25.9","MIT","https://github.com/rich-harris/magic-string","https://github.com/rich-harris/magic-string/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"make-dir@3.1.0","MIT","https://github.com/sindresorhus/make-dir","https://github.com/sindresorhus/make-dir/raw/master/license","neighbourhood-calculator-js-excel-addin"
"mime-db@1.52.0","MIT","https://github.com/jshttp/mime-db","https://github.com/jshttp/mime-db/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"mime-types@2.1.35","MIT","https://github.com/jshttp/mime-types","https://github.com/jshttp/mime-types/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"minimatch@3.1.2","ISC","https://github.com/isaacs/minimatch","https://github.com/isaacs/minimatch/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"ms@2.1.2","MIT","https://github.com/zeit/ms","https://github.com/zeit/ms/raw/master/license.md","neighbourhood-calculator-js-excel-addin"
"nanoid@3.3.6","MIT","https://github.com/ai/nanoid","https://github.com/ai/nanoid/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"natural-compare@1.4.0","MIT","https://github.com/litejs/natural-compare-lite","https://github.com/litejs/natural-compare-lite","neighbourhood-calculator-js-excel-addin"
